source,expected_document,query,classification,hit_count,expected_rank,expected_similarity,top_document,top_title,top_similarity,top_snippet
D:\AI\知识库\开工条件核查\条件核查(1)\人员-营业执照.pdf,business-license-ingest.md,上海旭日集团有限公司 统一社会信用代码 91310115515002x94,pass,1,1,0.1,business-license-ingest.md, 营业执照 OCR 结构化结果  结构化字段,0.1,| 字段 | 值 | | --- | --- | | 证照类型 | 营业执照 | | 统一社会信用代码 | 91310115515002x94 | | 名称 | 上海旭日集团有限公司 | | 类型 | 有限责任公司（自然人投资或控股） | | 法定代表人 | 林建华 | | 正照编号 | 1200000202112250104 | | 签发/登记日期 | 2
D:\AI\知识库\开工条件核查\条件核查(1)\人员-营业执照.pdf,business-license-ingest.md,法定代表人 林建华 正照编号 1200000202112250104,pass,2,1,0.10216718,business-license-ingest.md, 营业执照 OCR 结构化结果  结构化字段,0.10216718,| 字段 | 值 | | --- | --- | | 证照类型 | 营业执照 | | 统一社会信用代码 | 91310115515002x94 | | 名称 | 上海旭日集团有限公司 | | 类型 | 有限责任公司（自然人投资或控股） | | 法定代表人 | 林建华 | | 正照编号 | 1200000202112250104 | | 签发/登记日期 | 2
